Code	StockOnHand	Count
"6067465"	0	""
"6085162"	0	""
"602040"	72	""
"602051"	0	""
"602052"	10	""
"602043"	17	""
"602055"	29	""
"602059"	0	""
"602053"	2	""
"6081478"	0	""
"6083304"	0	""
"6016890"	34	""
"6081324"	0	""
"6016883"	0	""
"6083229"	0	""
"6083243"	0	""
"6083236"	0	""
"6083250"	0	""
"6083212"	0	""
"6083205"	0	""
"601434"	0	""
"6085568"	0	""
"6055813"	77	""
"601414"	0	""
"6081089"	0	""
"6038472"	0	""
"6022624"	0	""
"6076054"	0	""
"6080853"	0	""
"6077341"	0	""
"6067441"	0	""
"6083274"	0	""
"6004194"	0	""
"6033217"	0	""
"6055875"	0	""
"6016272"	0	""
"6069551"	0	""
"601478"	0	""
"6075538"	0	""
"6075088"	0	""
"6056353"	0	""
"6080808"	0	""
"6081300"	0	""
"6006327"	5	""
"6002848"	31	""
"6084905"	0	""
"6073251"	0	""
"6084745"	0	""
"6084431"	0	""
"6084752"	0	""
"6070458"	0	""
"6084448"	0	""
"6084455"	0	""
"6075460"	23	""
"6083618"	0	""
"6023935"	0	""
"6083625"	0	""
"6085711"	0	""
"6077549"	0	""
"6081928"	0	""
"6081881"	0	""
"6068462"	31	""
"6068455"	4	""
"6082079"	0	""
"6087586"	0	""
"6066062"	0	""
"6043704"	20	""
"6061166"	36	""
"6048921"	0	""
"6082918"	0	""
"6077839"	0	""
"6086664"	0	""
"6050597"	0	""
"6068882"	0	""
"6068875"	0	""
"6085285"	17	""
"6085063"	30	""
"6060626"	1	""
"6085216"	17	""
"6079949"	13	""
"6076627"	2	""
"601459"	0	""
"6072162"	0	""
"6072209"	0	""
"6072179"	0	""
"6040807"	0	""
"600804"	7	""
"6064723"	0	""
"601476"	0	""
"601475"	0	""
"6008161"	0	""
"6082611"	0	""
"6082628"	0	""
"6024149"	0	""
"6083182"	15.917	""
